8_17f.log:real	2m10.466s
8_1bf.log:real	1m41.284s
8_1df.log:real	2m8.534s
8_1ef.log:real	1m43.639s
8_1f7.log:real	2m0.072s
8_1fb.log:real	1m43.358s
8_1fd.log:real	1m33.878s
8_1fe.log:real	1m43.569s
8_27f.log:real	1m41.788s
8_2bf.log:real	1m43.039s
8_2df.log:real	1m43.998s
8_2ef.log:real	1m43.332s
8_2f7.log:real	1m44.276s
8_2fb.log:real	1m42.350s
8_2fd.log:real	1m43.869s
8_2fe.log:real	1m41.861s
8_33f.log:real	1m43.037s
8_35f.log:real	2m4.306s
8_36f.log:real	1m40.774s
8_377.log:real	1m59.091s
8_37b.log:real	1m43.702s
8_37d.log:real	1m34.091s
8_37e.log:real	1m38.845s
8_39f.log:real	1m41.275s
8_3af.log:real	1m42.783s
8_3b7.log:real	1m46.840s
8_3bb.log:real	1m42.693s
8_3bd.log:real	1m43.032s
8_3be.log:real	1m39.622s
8_3cf.log:real	1m42.436s
8_3d7.log:real	2m0.687s
8_3db.log:real	1m42.410s
8_3dd.log:real	1m37.444s
8_3de.log:real	1m40.958s
8_3e7.log:real	1m43.839s
8_3eb.log:real	1m43.227s
8_3ed.log:real	1m43.050s
8_3ee.log:real	1m41.782s
8_3f3.log:real	1m41.786s
8_3f5.log:real	1m36.738s
8_3f6.log:real	1m43.157s
8_3f9.log:real	1m43.878s
8_3fa.log:real	1m43.709s
8_3fc.log:real	1m45.051s
8_47f.log:real	2m7.830s
8_4bf.log:real	1m42.235s
8_4df.log:real	2m7.836s
8_4ef.log:real	1m39.523s
8_4f7.log:real	2m3.674s
8_4fb.log:real	1m42.710s
8_4fd.log:real	1m34.294s
8_4fe.log:real	1m44.203s
8_53f.log:real	2m10.258s
8_55f.log:real	2m15.476s
8_56f.log:real	2m10.957s
8_577.log:real	2m10.980s
8_57b.log:real	2m7.439s
8_57d.log:real	1m35.512s
8_57e.log:real	2m10.048s
8_59f.log:real	2m11.212s
8_5af.log:real	1m40.593s
8_5b7.log:real	2m10.920s
8_5bb.log:real	1m44.626s
8_5bd.log:real	1m36.371s
8_5be.log:real	1m43.195s
8_5cf.log:real	2m10.255s
8_5d7.log:real	2m14.390s
8_5db.log:real	2m3.440s
8_5dd.log:real	1m39.512s
8_5de.log:real	2m8.703s
8_5e7.log:real	2m9.027s
8_5eb.log:real	1m42.030s
8_5ed.log:real	1m34.076s
8_5ee.log:real	1m41.220s
8_5f3.log:real	2m3.073s
8_5f5.log:real	1m39.145s
8_5f6.log:real	2m10.058s
8_5f9.log:real	1m37.422s
8_5fa.log:real	1m41.849s
8_5fc.log:real	1m33.066s
8_63f.log:real	1m41.920s
8_65f.log:real	2m9.246s
8_66f.log:real	1m41.105s
8_677.log:real	2m11.873s
8_67b.log:real	1m43.283s
8_67d.log:real	1m34.348s
8_67e.log:real	1m43.936s
8_69f.log:real	1m44.184s
8_6af.log:real	1m41.399s
8_6b7.log:real	1m44.450s
8_6bb.log:real	1m43.162s
8_6bd.log:real	1m44.404s
8_6be.log:real	1m40.061s
8_6cf.log:real	1m42.509s
8_6d7.log:real	2m11.806s
8_6db.log:real	1m44.117s
8_6dd.log:real	1m34.469s
8_6de.log:real	1m42.848s
8_6e7.log:real	1m44.631s
8_6eb.log:real	1m41.780s
